Name,Type1,Type2,BST,HP,Attack,Defense,SpAtk,SpDef,Speed,Generation,Personality,Hardy,Lonely,Adamant,Naughty,Brave,Bold,Docile,Impish,Lax,Relaxed,Modest,Mild,Bashful,Rash,Quiet,Calm,Gentle,Careful,Quirky,Sassy,Timid,Hasty,Jolly,Naive,Serious,,AtkAverage,DefAverage,SpAAverage,SpDAverage,SpAverage,,AtkRank,DefRank,SpARank,SpDAverage,SpAverage
Wailmer,Water, ,400,130,70,35,70,35,60,3,Lonely,4.4,8.8,0.0,8.8,2.5,-8.8,2.2,-8.8,0.0,-6.3,0.0,8.8,4.4,8.8,2.5,0.0,8.8,4.4,8.8,2.5,-2.5,6.3,-2.5,6.3,3.8,,4.88,-4.31,4.88,4.88,2.25,,1,5,1,1,4
Wailord,Water, ,500,170,90,45,90,45,60,3,Lonely,4.5,9.0,0.0,9.0,6.0,-9.0,2.3,-9.0,0.0,-3.0,0.0,9.0,4.5,9.0,6.0,0.0,9.0,4.5,9.0,6.0,-6.0,3.0,-6.0,3.0,3.0,,5.70,-3.75,5.70,5.70,-0.60,,1,5,1,1,4
Numel,Fire,Ground,305,60,60,40,65,45,35,3,Quiet,4.9,6.6,-1.6,4.9,8.2,-6.6,3.3,-8.2,-1.6,1.6,1.6,8.2,5.3,6.6,9.8,1.6,8.2,5.3,6.6,9.8,-8.2,-1.6,-9.8,-3.3,2.9,,4.59,-2.30,6.31,6.31,-4.02,,3,4,1,1,5
Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,Quiet,5.4,6.5,-1.1,5.4,13.0,-6.5,3.8,-7.6,-1.1,6.5,1.1,7.6,5.7,6.5,14.1,1.1,7.6,5.7,6.5,14.1,-13.0,-6.5,-14.1,-7.6,2.2,,5.87,-0.98,7.01,7.01,-7.83,,3,4,1,1,5
Torkoal,Fire, ,470,70,85,140,85,70,20,3,Relaxed,4.5,-11.7,0.0,3.2,13.8,11.7,7.4,11.7,14.9,25.5,0.0,-11.7,4.5,3.2,13.8,0.0,-11.7,4.5,3.2,13.8,-13.8,-25.5,-13.8,-10.6,1.1,,1.97,14.26,1.97,1.97,-12.55,,2,1,2,2,5
Spoink,Psychic, ,330,60,25,35,70,80,60,3,Modest,1.9,-3.0,-13.6,-16.7,-10.6,3.0,2.7,-10.6,-13.6,-7.6,13.6,10.6,5.3,-3.0,3.0,13.6,10.6,5.3,-3.0,3.0,10.6,7.6,-3.0,-6.1,4.5,,-8.41,-5.23,5.91,5.91,2.73,,5,4,1,1,3
Grumpig,Psychic, ,470,80,45,65,90,110,80,3,Modest,2.4,-4.3,-9.6,-13.8,-7.4,4.3,3.5,-5.3,-9.6,-3.2,9.6,5.3,4.8,-4.3,2.1,9.6,5.3,4.8,-4.3,2.1,7.4,3.2,-2.1,-6.4,4.3,,-6.54,-2.07,3.51,3.51,1.28,,5,4,1,1,3
Spinda,Normal, ,360,60,60,60,60,60,60,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Trapinch,Ground, ,290,45,100,45,45,45,10,3,Brave,8.6,19.0,19.0,19.0,31.0,-19.0,3.9,0.0,0.0,12.1,-19.0,0.0,3.9,0.0,12.1,-19.0,0.0,3.9,0.0,12.1,-31.0,-12.1,-12.1,-12.1,0.9,,19.31,-0.60,-0.60,-0.60,-13.28,,1,2,2,2,5
Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,Lonely,5.1,5.9,5.9,5.9,0.0,-5.9,3.7,0.0,0.0,-5.9,-5.9,0.0,3.7,0.0,-5.9,-5.9,0.0,3.7,0.0,-5.9,0.0,5.9,5.9,5.9,5.1,,4.56,-1.62,-1.62,-1.62,4.56,,1,3,3,3,1
Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,Hardy,4.8,3.8,3.8,3.8,0.0,-3.8,3.8,0.0,0.0,-3.8,-3.8,0.0,3.8,0.0,-3.8,-3.8,0.0,3.8,0.0,-3.8,0.0,3.8,3.8,3.8,4.8,,3.27,-0.77,-0.77,-0.77,3.27,,1,3,3,3,1
Cacnea,Grass, ,335,50,85,40,85,40,35,3,Brave,6.3,13.4,0.0,13.4,14.9,-13.4,3.0,-13.4,0.0,1.5,0.0,13.4,6.3,13.4,14.9,0.0,13.4,6.3,13.4,14.9,-14.9,-1.5,-14.9,-1.5,2.6,,9.63,-4.48,9.63,9.63,-6.04,,1,4,1,1,5
Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,Brave,6.1,11.6,0.0,11.6,12.6,-11.6,3.2,-11.6,0.0,1.1,0.0,11.6,6.1,11.6,12.6,0.0,11.6,6.1,11.6,12.6,-12.6,-1.1,-12.6,-1.1,2.9,,8.37,-3.79,8.37,8.37,-4.89,,1,4,1,1,5
Swablu,Normal,Flying,310,45,40,60,40,75,50,3,Bold,3.2,-6.5,0.0,-11.3,-3.2,6.5,4.8,6.5,-4.8,3.2,0.0,-6.5,3.2,-11.3,-3.2,0.0,-6.5,3.2,-11.3,-3.2,3.2,-3.2,3.2,-8.1,4.0,,-3.55,3.23,-3.55,-3.55,-0.16,,3,1,3,3,2
Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,Docile,3.6,-4.1,0.0,-7.1,-2.0,4.1,4.6,4.1,-3.1,2.0,0.0,-4.1,3.6,-7.1,-2.0,0.0,-4.1,3.6,-7.1,-2.0,2.0,-2.0,2.0,-5.1,4.1,,-1.94,2.35,-1.94,-1.94,0.20,,3,1,3,3,2
Zangoose,Normal, ,458,73,115,60,60,60,90,3,Lonely,6.3,12.0,12.0,12.0,5.5,-12.0,3.3,0.0,0.0,-6.6,-12.0,0.0,3.3,0.0,-6.6,-12.0,0.0,3.3,0.0,-6.6,-5.5,6.6,6.6,6.6,4.9,,9.55,-3.06,-3.06,-3.06,3.82,,1,3,3,3,2
Seviper,Poison, ,458,73,100,60,100,60,65,3,Lonely,5.5,8.7,0.0,8.7,7.6,-8.7,3.3,-8.7,0.0,-1.1,0.0,8.7,5.5,8.7,7.6,0.0,8.7,5.5,8.7,7.6,-7.6,1.1,-7.6,1.1,3.5,,6.11,-3.06,6.11,6.11,-1.91,,1,5,1,1,4
Lunatone,Rock,Psychic,460,90,55,65,95,85,70,3,Modest,3.0,-2.2,-8.7,-6.5,-3.3,2.2,3.5,-6.5,-4.3,-1.1,8.7,6.5,5.2,2.2,5.4,8.7,6.5,5.2,2.2,5.4,3.3,1.1,-5.4,-3.3,3.8,,-3.53,-1.25,5.60,5.60,-0.11,,5,4,1,1,3
Solrock,Rock,Psychic,460,90,95,85,55,65,70,3,Adamant,5.2,2.2,8.7,6.5,5.4,-2.2,4.6,6.5,4.3,3.3,-8.7,-6.5,3.0,-2.2,-3.3,-8.7,-6.5,3.0,-2.2,-3.3,-5.4,-3.3,3.3,1.1,3.8,,5.60,3.32,-3.53,-3.53,-0.11,,1,2,4,4,3
Barboach,Water,Ground,288,50,48,43,46,41,60,3,Naive,4.2,1.7,0.7,2.4,-4.2,-1.7,3.7,-1.0,0.7,-5.9,-0.7,1.0,4.0,1.7,-4.9,-0.7,1.0,4.0,1.7,-4.9,4.2,5.9,4.9,6.6,5.2,,0.97,-0.85,0.24,0.24,5.35,,2,5,3,3,1
Whiscash,Water,Ground,468,110,78,73,76,71,60,3,Hardy,4.2,1.1,0.4,1.5,3.8,-1.1,3.9,-0.6,0.4,2.8,-0.4,0.6,4.1,1.1,3.4,-0.4,0.6,4.1,1.1,3.4,-3.8,-2.8,-3.4,-2.4,3.2,,2.20,1.08,1.75,1.75,-1.84,,1,4,2,2,5
Corphish,Water, ,308,43,80,65,50,35,35,3,Naughty,6.5,4.9,9.7,14.6,14.6,-4.9,5.3,4.9,9.7,9.7,-9.7,-4.9,4.1,4.9,4.9,-9.7,-4.9,4.1,4.9,4.9,-14.6,-9.7,-4.9,0.0,2.8,,10.06,4.95,-0.16,-0.16,-5.28,,1,2,3,3,5
Crawdaunt,Water,Dark,468,63,120,85,90,55,55,3,Naughty,6.4,7.5,6.4,13.9,13.9,-7.5,4.5,-1.1,6.4,6.4,-6.4,1.1,4.8,7.5,7.5,-6.4,1.1,4.8,7.5,7.5,-13.9,-6.4,-7.5,0.0,2.9,,9.62,1.76,2.88,2.88,-4.97,,1,4,2,2,5
Baltoy,Ground,Psychic,300,40,40,55,40,70,55,3,Bold,3.3,-5.0,0.0,-10.0,-5.0,5.0,4.6,5.0,-5.0,0.0,0.0,-5.0,3.3,-10.0,-5.0,0.0,-5.0,3.3,-10.0,-5.0,5.0,0.0,5.0,-5.0,4.6,,-3.33,1.92,-3.33,-3.33,1.92,,3,1,3,3,2
Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,Bold,3.5,-7.0,0.0,-10.0,-1.0,7.0,5.3,7.0,-3.0,6.0,0.0,-7.0,3.5,-10.0,-1.0,0.0,-7.0,3.5,-10.0,-1.0,1.0,-6.0,1.0,-9.0,3.8,,-2.90,4.45,-2.90,-2.90,-1.85,,3,1,3,3,2
Lileep,Rock,Grass,355,66,41,77,61,87,23,3,Relaxed,2.9,-10.1,-5.6,-13.0,5.1,10.1,5.4,4.5,-2.8,15.2,5.6,-4.5,4.3,-7.3,10.7,5.6,-4.5,4.3,-7.3,10.7,-5.1,-15.2,-10.7,-18.0,1.6,,-4.15,6.49,1.76,1.76,-9.48,,4,1,2,2,5
Cradily,Rock,Grass,495,86,81,97,81,107,43,3,Relaxed,4.1,-3.2,0.0,-5.3,7.7,3.2,4.9,3.2,-2.0,10.9,0.0,-3.2,4.1,-5.3,7.7,0.0,-3.2,4.1,-5.3,7.7,-7.7,-10.9,-7.7,-12.9,2.2,,0.66,4.05,0.66,0.66,-7.40,,2,1,2,2,5
Anorith,Rock,Bug,355,45,95,50,40,50,75,3,Adamant,6.7,12.7,15.5,12.7,5.6,-12.7,3.5,2.8,0.0,-7.0,-15.5,-2.8,2.8,-2.8,-9.9,-15.5,-2.8,2.8,-2.8,-9.9,-5.6,7.0,9.9,7.0,5.3,,10.63,-2.68,-5.63,-5.63,4.72,,1,3,4,4,2
Armaldo,Rock,Bug,495,75,125,100,70,80,45,3,Brave,6.3,5.1,11.1,9.1,16.2,-5.1,5.1,6.1,4.0,11.1,-11.1,-6.1,3.5,-2.0,5.1,-11.1,-6.1,3.5,-2.0,5.1,-16.2,-11.1,-5.1,-7.1,2.3,,9.55,4.24,-2.12,-2.12,-7.42,,1,2,3,3,5
Feebas,Water, ,200,20,15,20,10,55,80,3,Jolly,1.9,-2.5,2.5,-20.0,-32.5,2.5,2.5,5.0,-17.5,-30.0,-2.5,-5.0,1.3,-22.5,-35.0,-2.5,-5.0,1.3,-22.5,-35.0,32.5,30.0,35.0,12.5,10.0,,-10.13,-7.50,-12.75,-12.75,24.00,,3,2,4,4,1
Milotic,Water, ,540,95,60,79,100,125,81,3,Modest,2.8,-3.5,-7.4,-12.0,-3.9,3.5,3.7,-3.9,-8.5,-0.4,7.4,3.9,4.6,-4.6,3.5,7.4,3.9,4.6,-4.6,3.5,3.9,0.4,-3.5,-8.1,3.8,,-4.81,-1.12,2.96,2.96,-0.73,,5,4,1,1,3
Castform,Normal, ,420,70,70,70,70,70,70,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Castform,Fire, ,420,70,70,70,70,70,70,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Castform,Water, ,420,70,70,70,70,70,70,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Castform,Ice, ,420,70,70,70,70,70,70,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Kecleon,Normal, ,440,60,90,70,60,120,40,3,Brave,5.1,4.5,6.8,-6.8,11.4,-4.5,4.0,2.3,-11.4,6.8,-6.8,-2.3,3.4,-13.6,4.5,-6.8,-2.3,3.4,-13.6,4.5,-11.4,-6.8,-4.5,-18.2,2.3,,4.20,-0.57,-2.95,-2.95,-7.73,,1,2,3,3,5
Shuppet,Ghost, ,295,44,75,35,63,33,45,3,Naughty,6.4,13.6,4.1,14.2,10.2,-13.6,3.0,-9.5,0.7,-3.4,-4.1,9.5,5.3,10.2,6.1,-4.1,9.5,5.3,10.2,6.1,-10.2,3.4,-6.1,4.1,3.8,,9.68,-4.56,5.41,5.41,-1.00,,1,5,2,2,4
Banette,Ghost, ,455,64,115,65,83,63,65,3,Naughty,6.3,11.0,7.0,11.4,11.0,-11.0,3.6,-4.0,0.4,0.0,-7.0,4.0,4.6,4.4,4.0,-7.0,4.0,4.6,4.4,4.0,-11.0,0.0,-4.0,0.4,3.6,,9.35,-2.19,1.97,1.97,-2.19,,1,4,2,2,4
Duskull,Ghost, ,295,20,40,90,30,90,25,3,Relaxed,3.4,-16.9,3.4,-16.9,5.1,16.9,7.6,20.3,0.0,22.0,-3.4,-20.3,2.5,-20.3,1.7,-3.4,-20.3,2.5,-20.3,1.7,-5.1,-22.0,-1.7,-22.0,2.1,,-4.41,13.39,-7.97,-7.97,-9.75,,2,1,3,3,5
Dusclops,Ghost, ,455,40,70,130,60,130,25,3,Relaxed,3.8,-13.2,2.2,-13.2,9.9,13.2,7.1,15.4,0.0,23.1,-2.2,-15.4,3.3,-15.4,7.7,-2.2,-15.4,3.3,-15.4,7.7,-9.9,-23.1,-7.7,-23.1,1.4,,-2.09,11.76,-4.40,-4.40,-12.47,,2,1,3,3,5
Tropius,Grass,Flying,460,99,68,83,72,87,51,3,Relaxed,3.7,-3.3,-0.9,-4.1,3.7,3.3,4.5,2.4,-0.9,7.0,0.9,-2.4,3.9,-3.3,4.6,0.9,-2.4,3.9,-3.3,4.6,-3.7,-7.0,-4.6,-7.8,2.8,,-0.17,3.25,0.74,0.74,-4.05,,4,1,2,2,5
Chimecho,Psychic, ,455,75,50,80,95,90,65,3,Modest,2.7,-6.6,-9.9,-8.8,-3.3,6.6,4.4,-3.3,-2.2,3.3,9.9,3.3,5.2,1.1,6.6,9.9,3.3,5.2,1.1,6.6,3.3,-3.3,-6.6,-5.5,3.6,,-5.16,1.76,5.22,5.22,-1.70,,5,3,1,1,4
Absol,Dark, ,465,65,130,60,75,60,75,3,Lonely,7.0,15.1,11.8,15.1,11.8,-15.1,3.2,-3.2,0.0,-3.2,-11.8,3.2,4.0,3.2,0.0,-11.8,3.2,4.0,3.2,0.0,-11.8,3.2,0.0,3.2,4.0,,12.15,-3.66,-0.27,-0.27,-0.27,,1,5,2,2,2
Wynaut,Psychic, ,260,95,23,48,23,48,23,3,Bold,2.2,-9.6,0.0,-9.6,0.0,9.6,4.6,9.6,0.0,9.6,0.0,-9.6,2.2,-9.6,0.0,0.0,-9.6,2.2,-9.6,0.0,0.0,-9.6,0.0,-9.6,2.2,,-3.40,6.69,-3.40,-3.40,-3.40,,2,1,2,2,2
Snorunt,Ice, ,300,50,50,50,50,50,50,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Glalie,Ice, ,480,80,80,80,80,80,80,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Spheal,Ice,Water,290,70,40,50,55,50,25,3,Quiet,3.4,-3.4,-5.2,-3.4,5.2,3.4,4.3,-1.7,0.0,8.6,5.2,1.7,4.7,1.7,10.3,5.2,1.7,4.7,1.7,10.3,-5.2,-8.6,-10.3,-8.6,2.2,,-0.69,2.93,4.74,4.74,-6.12,,4,3,1,1,5
Sealeo,Ice,Water,410,90,60,70,75,70,45,3,Quiet,3.7,-2.4,-3.7,-2.4,3.7,2.4,4.3,-1.2,0.0,6.1,3.7,1.2,4.6,1.2,7.3,3.7,1.2,4.6,1.2,7.3,-3.7,-6.1,-7.3,-6.1,2.7,,-0.24,2.32,3.60,3.60,-4.09,,4,3,1,1,5
Walrein,Ice,Water,530,110,80,90,95,90,65,3,Quiet,3.8,-1.9,-2.8,-1.9,2.8,1.9,4.2,-0.9,0.0,4.7,2.8,0.9,4.5,0.9,5.7,2.8,0.9,4.5,0.9,5.7,-2.8,-4.7,-5.7,-4.7,3.1,,0.00,1.98,2.97,2.97,-2.97,,4,3,1,1,5
Clamperl,Water, ,345,35,64,85,74,55,32,3,Relaxed,4.6,-6.1,-2.9,2.6,9.3,6.1,6.2,3.2,8.7,15.4,2.9,-3.2,5.4,5.5,12.2,2.9,-3.2,5.4,5.5,12.2,-9.3,-15.4,-12.2,-6.7,2.3,,1.51,7.90,4.55,4.55,-8.23,,4,1,2,2,5
Huntail,Water, ,485,55,104,105,94,75,52,3,Relaxed,5.4,-0.2,2.1,6.0,10.7,0.2,5.4,2.3,6.2,10.9,-2.1,-2.3,4.8,3.9,8.7,-2.1,-2.3,4.8,3.9,8.7,-10.7,-10.9,-8.7,-4.7,2.7,,4.78,5.00,2.62,2.62,-6.47,,2,1,3,3,5
Gorebyss,Water, ,485,55,84,105,114,75,52,3,Quiet,4.3,-4.3,-6.2,1.9,6.6,4.3,5.4,-1.9,6.2,10.9,6.2,1.9,5.9,8.0,12.8,6.2,1.9,5.9,8.0,12.8,-6.6,-10.9,-12.8,-4.7,2.7,,0.45,5.00,6.95,6.95,-6.47,,4,3,1,1,5
Relicanth,Water,Rock,485,100,90,130,45,65,55,3,Impish,4.6,-8.2,9.3,5.2,7.2,8.2,6.7,17.5,13.4,15.5,-9.3,-17.5,2.3,-4.1,-2.1,-9.3,-17.5,2.3,-4.1,-2.1,-7.2,-15.5,2.1,-2.1,2.8,,3.61,12.27,-6.13,-6.13,-3.97,,2,1,4,4,3
Luvdisc,Water, ,330,43,30,55,40,65,97,3,Timid,2.3,-7.6,-3.0,-10.6,-20.3,7.6,4.2,4.5,-3.0,-12.7,3.0,-4.5,3.0,-7.6,-17.3,3.0,-4.5,3.0,-7.6,-17.3,20.3,12.7,17.3,9.7,7.3,,-7.85,0.11,-4.67,-4.67,13.47,,5,2,3,3,1
Bagon,Dragon, ,300,45,75,60,40,30,50,3,Naughty,6.3,5.0,11.7,15.0,8.3,-5.0,5.0,6.7,10.0,3.3,-11.7,-6.7,3.3,3.3,-3.3,-11.7,-6.7,3.3,3.3,-3.3,-8.3,-3.3,3.3,6.7,4.2,,9.25,4.00,-3.00,-3.00,0.50,,1,2,4,4,3
Shelgon,Dragon, ,420,65,95,100,60,50,50,3,Lax,5.7,-1.2,8.3,10.7,10.7,1.2,6.0,9.5,11.9,11.9,-8.3,-9.5,3.6,2.4,2.4,-8.3,-9.5,3.6,2.4,2.4,-10.7,-11.9,-2.4,0.0,3.0,,6.85,8.10,-1.90,-1.90,-4.40,,2,1,3,3,5
Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,Lonely,5.6,9.2,4.2,9.2,5.8,-9.2,3.3,-5.0,0.0,-3.3,-4.2,5.0,4.6,5.0,1.7,-4.2,5.0,4.6,5.0,1.7,-5.8,3.3,-1.7,3.3,4.2,,6.79,-2.83,2.42,2.42,0.67,,1,5,2,2,4
Beldum,Steel,Psychic,300,40,55,80,35,60,30,3,Relaxed,4.6,-8.3,6.7,-1.7,8.3,8.3,6.7,15.0,6.7,16.7,-6.7,-15.0,2.9,-8.3,1.7,-6.7,-15.0,2.9,-8.3,1.7,-8.3,-16.7,-1.7,-10.0,2.5,,1.92,10.67,-5.08,-5.08,-6.83,,2,1,3,3,5
Metang,Steel,Psychic,420,60,75,100,55,80,50,3,Relaxed,4.5,-6.0,4.8,-1.2,6.0,6.0,6.0,10.7,4.8,11.9,-4.8,-10.7,3.3,-6.0,1.2,-4.8,-10.7,3.3,-6.0,1.2,-6.0,-11.9,-1.2,-7.1,3.0,,1.61,7.86,-3.39,-3.39,-4.64,,2,1,3,3,5
Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,Brave,5.6,0.8,6.7,7.5,10.8,-0.8,5.4,5.8,6.7,10.0,-6.7,-5.8,4.0,0.8,4.2,-6.7,-5.8,4.0,0.8,4.2,-10.8,-10.0,-4.2,-3.3,2.9,,6.29,5.42,-0.71,-0.71,-5.08,,1,2,3,3,5
Regirock,Rock, ,580,80,100,200,50,100,50,3,Impish,4.3,-17.2,8.6,0.0,8.6,17.2,8.6,25.9,17.2,25.9,-8.6,-25.9,2.2,-8.6,0.0,-8.6,-25.9,2.2,-8.6,0.0,-8.6,-25.9,0.0,-8.6,2.2,,0.86,18.97,-8.19,-8.19,-8.19,,2,1,3,3,3
Regice,Ice, ,580,80,50,100,100,200,50,3,Bold,2.2,-8.6,-8.6,-25.9,0.0,8.6,4.3,0.0,-17.2,8.6,8.6,0.0,4.3,-17.2,8.6,8.6,0.0,4.3,-17.2,8.6,0.0,-8.6,-8.6,-25.9,2.2,,-8.19,0.86,0.86,0.86,-8.19,,4,1,1,1,4
Registeel,Steel, ,580,80,75,150,75,150,50,3,Relaxed,3.2,-12.9,0.0,-12.9,4.3,12.9,6.5,12.9,0.0,17.2,0.0,-12.9,3.2,-12.9,4.3,0.0,-12.9,3.2,-12.9,4.3,-4.3,-17.2,-4.3,-17.2,2.2,,-3.66,9.91,-3.66,-3.66,-8.19,,2,1,2,2,5
Latias,Dragon,Psychic,600,80,80,90,110,130,110,3,Modest,3.3,-1.7,-5.0,-8.3,-5.0,1.7,3.8,-3.3,-6.7,-3.3,5.0,3.3,4.6,-3.3,0.0,5.0,3.3,4.6,-3.3,0.0,5.0,3.3,0.0,-3.3,4.6,,-3.33,-1.58,1.92,1.92,1.92,,5,4,1,1,1
Latios,Dragon,Psychic,600,80,90,80,130,110,110,3,Mild,3.8,1.7,-6.7,-3.3,-3.3,-1.7,3.3,-8.3,-5.0,-5.0,6.7,8.3,5.4,3.3,3.3,6.7,8.3,5.4,3.3,3.3,3.3,5.0,-3.3,0.0,4.6,,-1.58,-3.33,5.42,5.42,1.92,,4,5,1,1,3
Kyogre,Water, ,670,100,100,90,150,140,90,3,Mild,3.7,1.5,-7.5,-6.0,1.5,-1.5,3.4,-9.0,-7.5,0.0,7.5,9.0,5.6,1.5,9.0,7.5,9.0,5.6,1.5,9.0,-1.5,0.0,-9.0,-7.5,3.4,,-1.34,-2.91,6.49,6.49,-2.91,,3,4,1,1,4
Groudon,Ground, ,670,100,150,140,100,90,90,3,Naughty,5.6,1.5,7.5,9.0,9.0,-1.5,5.2,6.0,7.5,7.5,-7.5,-6.0,3.7,1.5,1.5,-7.5,-6.0,3.7,1.5,1.5,-9.0,-7.5,-1.5,0.0,3.4,,6.49,4.93,-1.34,-1.34,-2.91,,1,2,3,3,5
Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,3,Lonely,5.5,8.8,0.0,8.8,8.1,-8.8,3.3,-8.8,0.0,-0.7,0.0,8.8,5.5,8.8,8.1,0.0,8.8,5.5,8.8,8.1,-8.1,0.7,-8.1,0.7,3.5,,6.25,-3.01,6.25,6.25,-2.24,,1,5,1,1,4
Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,Hardy,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,4.2,,0.83,0.83,0.83,0.83,0.83,,1,1,1,1,1
Deoxys,Psychic, ,600,50,150,50,150,50,150,3,Lonely,6.3,16.7,0.0,16.7,0.0,-16.7,2.1,-16.7,0.0,-16.7,0.0,16.7,6.3,16.7,0.0,0.0,16.7,6.3,16.7,0.0,0.0,16.7,0.0,16.7,6.3,,7.92,-9.58,7.92,7.92,7.92,,1,5,1,1,1
Deoxys,Psychic, ,600,50,180,20,180,20,150,3,Lonely,7.5,26.7,0.0,26.7,5.0,-26.7,0.8,-26.7,0.0,-21.7,0.0,26.7,7.5,26.7,5.0,0.0,26.7,7.5,26.7,5.0,-5.0,21.7,-5.0,21.7,6.3,,13.17,-14.83,13.17,13.17,7.92,,1,5,1,1,4
Deoxys,Psychic, ,600,50,70,160,70,160,90,3,Bold,2.9,-15.0,0.0,-15.0,-3.3,15.0,6.7,15.0,0.0,11.7,0.0,-15.0,2.9,-15.0,-3.3,0.0,-15.0,2.9,-15.0,-3.3,3.3,-11.7,3.3,-11.7,3.8,,-6.08,9.67,-6.08,-6.08,-2.58,,3,1,3,3,2
Deoxys,Psychic, ,600,50,95,90,95,90,180,3,Hasty,4.0,0.8,0.0,0.8,-14.2,-0.8,3.8,-0.8,0.0,-15.0,0.0,0.8,4.0,0.8,-14.2,0.0,0.8,4.0,0.8,-14.2,14.2,15.0,14.2,15.0,7.5,,-1.71,-2.58,-1.71,-1.71,13.17,,2,5,2,2,1
Turtwig,Grass, ,318,55,68,64,45,55,31,4,Brave,5.3,1.3,7.2,4.1,11.6,-1.3,5.0,6.0,2.8,10.4,-7.2,-6.0,3.5,-3.1,4.4,-7.2,-6.0,3.5,-3.1,4.4,-11.6,-10.4,-4.4,-7.5,2.4,,5.91,4.59,-1.68,-1.68,-6.31,,1,2,3,3,5
Grotle,Grass, ,405,75,89,85,55,65,36,4,Brave,5.5,1.0,8.4,5.9,13.1,-1.0,5.2,7.4,4.9,12.1,-8.4,-7.4,3.4,-2.5,4.7,-8.4,-7.4,3.4,-2.5,4.7,-13.1,-12.1,-4.7,-7.2,2.2,,6.78,5.74,-2.04,-2.04,-6.96,,1,2,3,3,5
Torterra,Grass,Ground,525,95,109,105,75,85,56,4,Brave,5.2,0.8,6.5,4.6,10.1,-0.8,5.0,5.7,3.8,9.3,-6.5,-5.7,3.6,-1.9,3.6,-6.5,-5.7,3.6,-1.9,3.6,-10.1,-9.3,-3.6,-5.5,2.7,,5.42,4.62,-1.38,-1.38,-5.18,,1,2,3,3,5
Chimchar,Fire, ,309,44,58,44,58,44,61,4,Hasty,4.7,4.5,0.0,4.5,-1.0,-4.5,3.6,-4.5,0.0,-5.5,0.0,4.5,4.7,4.5,-1.0,0.0,4.5,4.7,4.5,-1.0,1.0,5.5,1.0,5.5,4.9,,2.56,-2.20,2.56,2.56,3.58,,2,5,2,2,1
Monferno,Fire,Fighting,405,64,78,52,78,52,81,4,Hasty,4.8,6.4,0.0,6.4,-0.7,-6.4,3.2,-6.4,0.0,-7.2,0.0,6.4,4.8,6.4,-0.7,0.0,6.4,4.8,6.4,-0.7,0.7,7.2,0.7,7.2,5.0,,3.38,-3.36,3.38,3.38,4.16,,2,5,2,2,1
